procedimento_id,codigo,nome_atual_bruto,caracteres_suspeitos,reparo_diagnostico,nome_canonico_sql,nome_canonico_csv,nroproctab,codconv,metodo_correspondencia,nivel_confianca,motivo,acao
40577,6200,Exodontia de dec¡duos,,Exodontia de decíduos,Exodontia de decíduos,Exodontia de decíduos,21,6200,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40578,6210,Exodontia de incluso,,,Exodontia de incluso,Exodontia de incluso,22,6210,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40579,6220,Exodontia de incluso impactado,,,Exodontia de incluso impactado,Exodontia de incluso impactado,23,6220,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40580,6230,Exodontia de raiz residual,,,Exodontia de raiz residual,Exodontia de raiz residual,24,6230,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40581,6240,Exodontia de raiz residual com retalho,,,Exodontia de raiz residual com retalho,Exodontia de raiz residual com retalho,25,6240,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40582,6250,Exodontia de semi-incluso,,,Exodontia de semi-incluso,Exodontia de semi-incluso,26,6250,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40583,6260,Exodontia + Enxerto + membrana,,,Exodontia + Enxerto + membrana,Exodontia + Enxerto + membrana,27,6260,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40584,6270,Exodontia simples - (Anteriores),,,Exodontia simples - (Anteriores),Exodontia simples - (Anteriores),28,6270,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40585,6280,Exodontia simples - (Posteriores),,,Exodontia simples - (Posteriores),Exodontia simples - (Posteriores),29,6280,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40586,6290,Fraturas alvdio-dent rias - reduÆo cruenta, ,Fraturas alvédio-dentárias - redução cruenta,Fraturas alvédio-dentárias - redução cruenta,Fraturas alvédio-dentárias - redução cruenta,30,6290,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40587,6300,MarzupializaÆo de cisto,,Marzupialização de cisto,Marzupialização de cisto,Marzupialização de cisto,31,6300,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40588,6310,ReconstruÆo parcial do l bio traumatizado,,Reconstrução parcial do lábio traumatizado,Reconstrução parcial do lábio traumatizado,Reconstrução parcial do lábio traumatizado,32,6310,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40589,6320,ReconstruÆo total do l bio traumatizado,,Reconstrução total do lábio traumatizado,Reconstrução total do lábio traumatizado,Reconstrução total do lábio traumatizado,33,6320,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40590,6330,Suturas m£ltiplas da face ou l bio,,Suturas múltiplas da face ou lábio,Suturas múltiplas da face ou lábio,Suturas múltiplas da face ou lábio,34,6330,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40591,6340,Suturas simples da face ou l bio,,Suturas simples da face ou lábio,Suturas simples da face ou lábio,Suturas simples da face ou lábio,35,6340,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40592,6350,Tratamento de alveolite,,,Tratamento de alveolite,Tratamento de alveolite,36,6350,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40593,6360,Tratamento de hemorragia,,,Tratamento de hemorragia,Tratamento de hemorragia,37,6360,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40594,6370,Tratamento cir£rgico do l bio leporino,,Tratamento cirúrgico do lábio leporino,Tratamento cirúrgico do lábio leporino,Tratamento cirúrgico do lábio leporino,38,6370,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40595,5000,AdequaÆo de meio bucal,,Adequação de meio bucal,Adequação de meio bucal,Adequação de meio bucal,39,5000,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40596,5010,Ajuste oclusal - (por sessÆo),,Ajuste oclusal - (por sessão),Ajuste oclusal - (por sessão),Ajuste oclusal - (por sessão),40,5010,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40597,5020,Capeamento pulpar,,,Capeamento pulpar,Capeamento pulpar,41,5020,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40598,5030,Clareamento - (Caseiro),,,Clareamento - (Caseiro),Clareamento - (Caseiro),42,5030,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40599,5040,Clareamento - (Laser),,,Clareamento - (Laser),Clareamento - (Laser),43,5040,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40600,5050,Clareamento interno - (dentes desvitalizados),,,Clareamento interno - (dentes desvitalizados),Clareamento interno - (dentes desvitalizados),44,5050,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40601,5060,DessensibilizaÆo dent ria - (por elemento),,Dessensibilização dentária - (por elemento),Dessensibilização dentária - (por elemento),Dessensibilização dentária - (por elemento),45,5060,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40602,5070,Faceta em resina direta - (Dentes anteriores),,,Faceta em resina direta - (Dentes anteriores),Faceta em resina direta - (Dentes anteriores),46,5070,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40603,5080,ImobilizaÆo dent ria com resina fotopolimeriz vel,,Imobilização dentária com resina fotopolimerizável,Imobilização dentária com resina fotopolimerizável,Imobilização dentária com resina fotopolimerizável,47,5080,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40604,5090,ImobilizaÆo dent ria (esplintagem),,Imobilização dentária (esplintagem),Imobilização dentária (esplintagem),Imobilização dentária (esplintagem),48,5090,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40605,5121,N£cleo de preenchimento,,Núcleo de preenchimento,Núcleo de preenchimento,Núcleo de preenchimento,49,5121,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40606,5100,N£cleo de preenchimento em ionmetro de vidro,,Núcleo de preenchimento em ionômetro de vidro,Núcleo de preenchimento em ionômetro de vidro,Núcleo de preenchimento em ionômetro de vidro,50,5100,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40607,5110,N£cleo de preenchimento em resina,,Núcleo de preenchimento em resina,Núcleo de preenchimento em resina,Núcleo de preenchimento em resina,51,5110,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40608,5120,N£cleo fibra de vidro,,Núcleo fibra de vidro,Núcleo fibra de vidro,Núcleo fibra de vidro,52,5120,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40609,5130,N£cleo met lico pr-fabricado,,Núcleo metálico pré-fabricado,Núcleo metálico pré-fabricado,Núcleo metálico pré-fabricado,53,5130,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40610,5140,N£cleo rosqueavel - (Roach),,Núcleo rosqueavel - (Roach),Núcleo rosqueavel - (Roach),Núcleo rosqueavel - (Roach),54,5140,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40611,5150,Polimento e Acabamento,,,Polimento e Acabamento,Polimento e Acabamento,55,5150,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40612,5160,ReconstruÆo em Resina Direta - (+ de 3 Faces),,Reconstrução em Resina Direta - (+ de 3 Faces),Reconstrução em Resina Direta - (+ de 3 Faces),Reconstrução em Resina Direta - (+ de 3 Faces),56,5160,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40613,5170,RestauraÆo de Am lgama - 1 face,,Restauração de Amálgama - 1 face,Restauração de Amálgama - 1 face,Restauração de Amálgama - 1 face,57,5170,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40614,5180,RestauraÆo de Am lgama - 2 faces,,Restauração de Amálgama - 2 faces,Restauração de Amálgama - 2 faces,Restauração de Amálgama - 2 faces,58,5180,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40615,5190,RestauraÆo de Am lgama - 3 faces,,Restauração de Amálgama - 3 faces,Restauração de Amálgama - 3 faces,Restauração de Amálgama - 3 faces,59,5190,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40616,5200,Procedimento 5200,,,,,,,sem_correspondencia,baixo,nao foi possivel associar nome canonico com seguranca,BLOQUEAR
40617,5210,RestauraÆo em Resina Direta - (1 Face),,Restauração em Resina Direta - (1 Face),Restauração em Resina Direta - (1 Face),Restauração em Resina Direta - (1 Face),61,5210,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40618,5220,RestauraÆo em Resina Direta - (2 Faces),,Restauração em Resina Direta - (2 Faces),Restauração em Resina Direta - (2 Faces),Restauração em Resina Direta - (2 Faces),62,5220,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40619,5230,RestauraÆo em Resina Direta - (3 Faces),,Restauração em Resina Direta - (3 Faces),Restauração em Resina Direta - (3 Faces),Restauração em Resina Direta - (3 Faces),63,5230,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40620,5240,RestauraÆo em Resina Direta - (Classe IV),,Restauração em Resina Direta - (Classe IV),Restauração em Resina Direta - (Classe IV),Restauração em Resina Direta - (Classe IV),64,5240,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40621,5250,RestauraÆo em Resina Direta - (Classe V),,Restauração em Resina Direta - (Classe V),Restauração em Resina Direta - (Classe V),Restauração em Resina Direta - (Classe V),65,5250,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40622,5260,RestauraÆo tempor ria (IRM ou similar),,Restauração temporária (IRM ou similar),Restauração temporária (IRM ou similar),Restauração temporária (IRM ou similar),66,5260,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40623,5270,Tratamento Expectante com H. C lcio,,Tratamento Expectante com H. Cálcio,Tratamento Expectante com H. Cálcio,Tratamento Expectante com H. Cálcio,67,5270,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40624,4000,Apicectomia em Incisivos com enxerto leofilizado,,,Apicectomia em Incisivos com enxerto leofilizado,Apicectomia em Incisivos com enxerto leofilizado,68,4000,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40625,4010,Apicectomia em Incisivos com obturaÆo retr¢grada,,Apicectomia em Incisivos com obturação retrógrada,Apicectomia em Incisivos com obturação retrógrada,Apicectomia em Incisivos com obturação retrógrada,69,4010,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40626,4020,Apicectomia em Incisivos curetagem apical,,,Apicectomia em Incisivos curetagem apical,Apicectomia em Incisivos curetagem apical,70,4020,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40627,4030,Apicectomia em Molares com enxerto leofilizado,,,Apicectomia em Molares com enxerto leofilizado,Apicectomia em Molares com enxerto leofilizado,71,4030,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40628,4040,Apicectomia em Molares com obturaÆo retr¢grada,,Apicectomia em Molares com obturação retrógrada,Apicectomia em Molares com obturação retrógrada,Apicectomia em Molares com obturação retrógrada,72,4040,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40629,4050,Apicectomia em Molares curetagem apical,,,Apicectomia em Molares curetagem apical,Apicectomia em Molares curetagem apical,73,4050,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40630,4060,Apicectomia em Pr-molares com enxerto leofilizado,,Apicectomia em Pré-molares com enxerto leofilizado,Apicectomia em Pré-molares com enxerto leofilizado,Apicectomia em Pré-molares com enxerto leofilizado,74,4060,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40631,4070,Apicectomia em Pr-molares com obturaÆo retr¢grada, ,Apicectomia em Pré-molares com obturação retrógrada,Apicectomia em Pré-molares com obturação retrógrada,Apicectomia em Pré-molares com obturação retrógrada,75,4070,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40632,4080,Apicectomia em Pr-molares curetagem apical,,Apicectomia em Pré-molares curetagem apical,Apicectomia em Pré-molares curetagem apical,Apicectomia em Pré-molares curetagem apical,76,4080,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40633,4090,Clareamento Interno,,,Clareamento Interno,Clareamento Interno,77,4090,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40634,4100,DesobturaÆo de canal,,Desobturação de canal,Desobturação de canal,Desobturação de canal,78,4100,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40635,4110,Preparo para N£cleo intra-radicular,,Preparo para Núcleo intra-radicular,Preparo para Núcleo intra-radicular,Preparo para Núcleo intra-radicular,79,4110,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40636,4120,Pulpotomia,,,Pulpotomia,Pulpotomia,80,4120,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40637,4130,Reimplante dentes avuls. trauma + ap. contenÆo,,Reimplante dentes avuls. trauma + ap. contenção,Reimplante dentes avuls. trauma + ap. contenção,Reimplante dentes avuls. trauma + ap. contenção,81,4130,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40638,4140,RemoÆo de Coroal Total,,Remoção de Coroal Total,Remoção de Coroal Total,Remoção de Coroal Total,82,4140,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40639,4150,RemoÆo de n£cleo intraradicular,,Remoção de núcleo intraradicular,Remoção de núcleo intraradicular,Remoção de núcleo intraradicular,83,4150,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40640,4160,Retratamento de Canal - (Incisivos),,,Retratamento de Canal - (Incisivos),Retratamento de Canal - (Incisivos),84,4160,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40641,4170,Retratamento de Canal - (Molares com 4 ou mais condutos),,,Retratamento de Canal - (Molares com 4 ou mais condutos),Retratamento de Canal - (Molares com 4 ou mais condutos),85,4170,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40642,4180,Retratamento de Canal - (Molares),,,Retratamento de Canal - (Molares),Retratamento de Canal - (Molares),86,4180,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40643,4190,Retratamento de Canal - (Pr-molares),,Retratamento de Canal - (Pré-molares),Retratamento de Canal - (Pré-molares),Retratamento de Canal - (Pré-molares),87,4190,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40644,4200,Tratamento cirurgico de lesÆo endo-perio - (Curetagem),,Tratamento cirurgico de lesão endo-perio - (Curetagem),Tratamento cirurgico de lesão endo-perio - (Curetagem),Tratamento cirurgico de lesão endo-perio - (Curetagem),88,4200,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40645,4210,Tratamento cirurgico de lesÆo endo-perio com enxerto leofilizado,,Tratamento cirurgico de lesão endo-perio com enxerto leofilizado,Tratamento cirurgico de lesão endo-perio com enxerto leofilizado,Tratamento cirurgico de lesão endo-perio com enxerto leofilizado,89,4210,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40646,4220,Tratamento de Canal - (Incisivos),,,Tratamento de Canal - (Incisivos),Tratamento de Canal - (Incisivos),90,4220,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40647,4230,Tratamento de Canal - (Molares com mais de 3 condutos),,,Tratamento de Canal - (Molares com mais de 3 condutos),Tratamento de Canal - (Molares com mais de 3 condutos),91,4230,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40648,4240,Tratamento de Canal - (Molares),,,Tratamento de Canal - (Molares),Tratamento de Canal - (Molares),92,4240,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40649,4250,Tratamento de Canal - (Pr-molares),,Tratamento de Canal - (Pré-molares),Tratamento de Canal - (Pré-molares),Tratamento de Canal - (Pré-molares),93,4250,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40650,4260,Tratamento de dentes c/ rizogenese incompleta - (Por sessÆo),,Tratamento de dentes c/ rizogenese incompleta - (Por sessão),Tratamento de dentes c/ rizogenese incompleta - (Por sessão),Tratamento de dentes c/ rizogenese incompleta - (Por sessão),94,4260,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40651,4270,Tratamento de Trepanaäes / Perfuraäes,,Tratamento de Trepanações / Perfurações,Tratamento de Trepanações / Perfurações,Tratamento de Trepanações / Perfurações,95,4270,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40652,2000,CimentaÆo de Coroa Total Definitiva,,Cimentação de Coroa Total Definitiva,Cimentação de Coroa Total Definitiva,Cimentação de Coroa Total Definitiva,96,2000,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40653,2010,CimentaÆo de Coroa Total Provis¢ria,,Cimentação de Coroa Total Provisória,Cimentação de Coroa Total Provisória,Cimentação de Coroa Total Provisória,97,2010,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40654,2020,CimentaÆo de N£cleo Met lico Fundido,,Cimentação de Núcleo Metálico Fundido,Cimentação de Núcleo Metálico Fundido,Cimentação de Núcleo Metálico Fundido,98,2020,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40655,2030,CimentaÆo de Pr¢tese Parcial Fixa,,Cimentação de Prótese Parcial Fixa,Cimentação de Prótese Parcial Fixa,Cimentação de Prótese Parcial Fixa,99,2030,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40656,2040,Consulta de adaptaÆo Psicol¢gica,,Consulta de adaptação Psicológica,Consulta de adaptação Psicológica,Consulta de adaptação Psicológica,100,2040,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40657,2050,Consulta de Emergncia,,Consulta de Emergência,Consulta de Emergência,Consulta de Emergência,101,2050,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40658,2060,"Consulta de Emergncia - (S bado, Domingo e Feriado)",,"Consulta de Emergência - (Sábado, Domingo e Feriado)","Consulta de Emergência - (Sábado, Domingo e Feriado)","Consulta de Emergência - (Sábado, Domingo e Feriado)",102,2060,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40659,2070,Consulta de Emergncia Noturna - (22:00 s 06:00 hs),,Consulta de Emergência Noturna - (22:00 às 06:00 hs),Consulta de Emergência Noturna - (22:00 às 06:00 hs),Consulta de Emergência Noturna - (22:00 às 06:00 hs),103,2070,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40660,2080,Consulta Inicial para Exame cl¡nico,,Consulta Inicial para Exame clínico,Consulta Inicial para Exame clínico,Consulta Inicial para Exame clínico,104,2080,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40661,2090,Curativo,,,Curativo,Curativo,105,2090,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40662,2100,Exame para Per¡cia Inicial e Final,,Exame para Perícia Inicial e Final,Exame para Perícia Inicial e Final,Exame para Perícia Inicial e Final,106,2100,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40663,2110,Modelo de Estudo - (Superior e Infeiror),,,Modelo de Estudo - (Superior e Infeiror),Modelo de Estudo - (Superior e Infeiror),107,2110,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40664,2120,Radiografia Bite-Wing - (inter-proximal),,,Radiografia Bite-Wing - (inter-proximal),Radiografia Bite-Wing - (inter-proximal),108,2120,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40665,2130,Radiografia Oclusal,,,Radiografia Oclusal,Radiografia Oclusal,109,2130,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40666,2140,Radiografia Periapical,,,Radiografia Periapical,Radiografia Periapical,110,2140,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40667,7040,Enxerto Osseo Particulado + Membrana colageno.,,,Enxerto Osseo Particulado + Membrana colageno.,Enxerto Osseo Particulado + Membrana colageno.,111,7040,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40668,7000,Implante - (tcnica de Sammers),,Implante - (técnica de Sammers),Implante - (técnica de Sammers),Implante - (técnica de Sammers),112,7000,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40669,7010,Implante (RTG),,,Implante (RTG),Implante (RTG),113,7010,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40670,7022,Implante ¢sseo integr vel - Cone Morse,,Implante ósseo integrável - Cone Morse,Implante ósseo integrável - Cone Morse,Implante ósseo integrável - Cone Morse,114,7022,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40671,7021,Implante ¢sseo integr vel - H. Interno,,Implante ósseo integrável - H. Interno,Implante ósseo integrável - H. Interno,Implante ósseo integrável - H. Interno,115,7021,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40672,7020,Implante ¢sseo integr vel - Standard,,Implante ósseo integrável - Standard,Implante ósseo integrável - Standard,Implante ósseo integrável - Standard,116,7020,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40673,7030,RemoÆo de implante,,Remoção de implante,Remoção de implante,Remoção de implante,117,7030,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40674,3000,Abertura de implante - (Giro de retalho),,,Abertura de implante - (Giro de retalho),Abertura de implante - (Giro de retalho),118,3000,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40675,3010,Abertura de implante - (Osteotomia),,,Abertura de implante - (Osteotomia),Abertura de implante - (Osteotomia),119,3010,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40676,3020,Abertura de implante - (Plastia),,,Abertura de implante - (Plastia),Abertura de implante - (Plastia),120,3020,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40677,3030,Abertura de implante mand. - (Enxerto Livre),,,Abertura de implante mand. - (Enxerto Livre),Abertura de implante mand. - (Enxerto Livre),121,3030,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40678,3040,Abertura de implante mand. - (Osteotomia e Livre),,,Abertura de implante mand. - (Osteotomia e Livre),Abertura de implante mand. - (Osteotomia e Livre),122,3040,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40679,3050,Aumento de Coroa Cl¡nica - (Osteotomia e deslize apical),,Aumento de Coroa Clínica - (Osteotomia e deslize apical),Aumento de Coroa Clínica - (Osteotomia e deslize apical),Aumento de Coroa Clínica - (Osteotomia e deslize apical),123,3050,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
